Date,ROI-USD,Open
2019-10-27,1.4414997728422594,174.78500000000003
2019-10-28,2.891113095412032,193.36
2019-10-29,6.980108342477027,191.39
2019-10-30,6.7246809334379085,192.61
2019-10-31,6.281641202105646,187.44
2019-11-01,7.752149306463921,186.94
2019-11-02,8.117697445504792,187.17666666666668
2019-11-03,9.792517420479301,187.41333333333333
2019-11-04,12.728951028021397,187.65
2019-11-05,12.48422679010552,191.61
2019-11-06,12.28432695549242,191.49
2019-11-07,10.425208690935161,192.04
2019-11-08,7.782980224997443,189.87
2019-11-09,8.521602540579176,188.89333333333335
2019-11-10,11.642501943262221,187.91666666666666
2019-11-11,9.59189492362074,186.94
2019-11-12,9.670350182331948,181.39
2019-11-13,11.162491554739958,181.48
2019-11-14,10.384491464591315,182.21
2019-11-15,7.899828009047951,180.37
2019-11-16,9.23093799331653,180.17000000000002
2019-11-17,12.746297954288227,179.97
2019-11-18,9.368475081021257,179.77
2019-11-19,6.109524626342661,171.6
2019-11-20,5.933436399637652,169.36
2019-11-21,-0.9806048366183058,166.06
2019-11-22,-5.904216894185324,157.11
2019-11-23,-3.1493020043591535,153.37333333333333
2019-11-24,-10.908948294973609,149.63666666666668
2019-11-25,-8.309367158386138,145.9
2019-11-26,-4.875475877037964,147.33
2019-11-27,3.497186043089444,154.60000000000002
2019-11-28,5.2070263185351315,154.85000000000002
2019-11-29,5.838330453980797,155.1
2019-11-30,2.6323306147727914,153.23333333333332
2019-12-01,2.969181793369206,151.36666666666667
2019-12-02,2.0239516850569865,149.5
2019-12-03,1.1355968173076527,149.3
2019-12-04,-2.704231970745739,147.7
2019-12-05,0.31701844735555706,151.2
2019-12-06,2.9586918288230346,151.2
2019-12-07,1.983372761086983,150.73333333333332
2019-12-08,1.9448934275853367,150.26666666666668
2019-12-09,-0.35782412808836983,149.8
2019-12-10,-4.4936082950351635,147.89999999999998
2019-12-11,-4.566777471096887,146.6
2019-12-12,-2.517351872133295,147.10000000000002
2019-12-13,-0.5117259750855316,147.10000000000002
2019-12-14,-4.569865164705474,144.60000000000002
2019-12-15,-2.0632624193306897,142.10000000000002
2019-12-16,-6.915330421190291,139.60000000000002
2019-12-17,-13.828669328385566,132.20000000000002
2019-12-18,-5.961270166549257,142.20000000000002
2019-12-19,-7.620512893695601,142.20000000000002
2019-12-20,-7.844003654129372,142.20000000000002
2019-12-21,-8.037140292316419,142.93333333333334
2019-12-22,-6.538570724568686,143.66666666666669
2019-12-23,-9.451581779041645,144.4
2019-12-24,-10.026608249810677,144.0
2019-12-25,-11.67996807069424,143.15
2019-12-26,-11.959434411051241,142.3
2019-12-27,-11.975398414114334,142.3
2019-12-28,-11.25830221217301,143.23333333333335
2019-12-29,-9.261321245959046,144.16666666666666
2019-12-30,-11.55960397573984,145.1
2019-12-31,-13.373557353555332,142.4
2020-01-01,-11.294418016310319,140.55
2020-01-02,-14.898223776331722,138.7
2020-01-03,-9.79603893780834,138.7
2020-01-04,-9.247733917990848,143.7
2020-01-05,-8.571430458475296,148.7
2020-01-06,-3.544960122966124,153.7
2020-01-07,-3.211817816144314,158.6
2020-01-08,-4.358705152284233,158.2
2020-01-09,-5.9196150414307755,155.29999999999998
2020-01-10,-2.8592668051733128,155.29999999999998
2020-01-11,-3.5372813711558937,157.89666666666665
