Date,Open
2019-10-27,0.0
2019-10-28,18.57499999999999
2019-10-29,16.60499999999996
2019-10-30,17.82499999999999
2019-10-31,12.654999999999973
2019-11-01,12.154999999999973
2019-11-02,12.391666666666652
2019-11-03,12.628333333333302
2019-11-04,12.86499999999998
2019-11-05,16.82499999999999
2019-11-06,16.704999999999984
2019-11-07,17.254999999999967
2019-11-08,15.08499999999998
2019-11-09,14.10833333333332
2019-11-10,13.131666666666632
2019-11-11,12.154999999999973
2019-11-12,6.604999999999961
2019-11-13,6.694999999999965
2019-11-14,7.424999999999983
2019-11-15,5.5849999999999795
2019-11-16,5.384999999999991
2019-11-17,5.184999999999974
2019-11-18,4.984999999999985
2019-11-19,-3.1850000000000307
2019-11-20,-5.425000000000011
2019-11-21,-8.725000000000023
2019-11-22,-17.67500000000001
2019-11-23,-21.41166666666669
2019-11-24,-25.14833333333334
2019-11-25,-28.88500000000002
2019-11-26,-27.455000000000013
2019-11-27,-20.185000000000002
2019-11-28,-19.935000000000002
2019-11-29,-19.68500000000003
2019-11-30,-21.551666666666705
2019-12-01,-23.41833333333335
2019-12-02,-25.285000000000025
2019-12-03,-25.485000000000014
2019-12-04,-27.085000000000036
2019-12-05,-23.585000000000036
2019-12-06,-23.585000000000036
2019-12-07,-24.051666666666705
2019-12-08,-24.518333333333345
2019-12-09,-24.985000000000014
2019-12-10,-26.885000000000048
2019-12-11,-28.18500000000003
2019-12-12,-27.685000000000002
2019-12-13,-27.685000000000002
2019-12-14,-30.185000000000002
2019-12-15,-32.685
2019-12-16,-35.185
2019-12-17,-42.58500000000001
2019-12-18,-32.58500000000001
2019-12-19,-32.58500000000001
2019-12-20,-32.58500000000001
2019-12-21,-31.851666666666688
2019-12-22,-31.11833333333334
2019-12-23,-30.38500000000002
2019-12-24,-30.785000000000025
2019-12-25,-31.63500000000002
2019-12-26,-32.485000000000014
2019-12-27,-32.485000000000014
2019-12-28,-31.551666666666677
2019-12-29,-30.618333333333368
2019-12-30,-29.68500000000003
2019-12-31,-32.38500000000002
2020-01-01,-34.235000000000014
2020-01-02,-36.085000000000036
2020-01-03,-36.085000000000036
2020-01-04,-31.085000000000036
2020-01-05,-26.085000000000036
2020-01-06,-21.085000000000036
2020-01-07,-16.18500000000003
2020-01-08,-16.585000000000036
2020-01-09,-19.485000000000042
2020-01-10,-19.485000000000042
2020-01-11,-16.888333333333378
2020-01-12,-14.291666666666686
2020-01-13,-11.695000000000022
2020-01-14,-12.065000000000026
2020-01-15,5.314999999999969
2020-01-16,6.974999999999966
2020-01-17,4.174999999999983
2020-01-18,4.527499999999975
2020-01-19,4.8799999999999955
2020-01-20,5.2324999999999875
2020-01-21,5.5849999999999795
2020-01-22,5.3849999999999625
2020-01-23,4.784999999999968
2020-01-24,-1.2150000000000318
2020-01-25,-0.018333333333373503
2020-01-26,1.1783333333333132
2020-01-27,2.3749999999999716
2020-01-28,9.06499999999997
2020-01-29,12.09499999999997
2020-01-30,17.33499999999998
2020-01-31,22.044999999999987
2020-02-01,21.86833333333331
2020-02-02,21.691666666666663
2020-02-03,21.514999999999986
2020-02-04,19.514999999999986
2020-02-05,17.794999999999987
2020-02-06,29.12499999999997
2020-02-07,31.394999999999982
2020-02-08,34.514999999999986
2020-02-09,37.63499999999996
2020-02-10,40.75499999999997
2020-02-11,36.234999999999985
2020-02-12,44.25499999999997
2020-02-13,51.78499999999997
2020-02-14,49.484999999999985
2020-02-15,45.86499999999998
2020-02-16,42.244999999999976
2020-02-17,38.62499999999997
2020-02-18,35.00499999999997
2020-02-19,45.454999999999984
2020-02-20,34.55499999999998
2020-02-21,32.964999999999975
2020-02-22,35.05499999999998
2020-02-23,37.14499999999998
2020-02-24,39.234999999999985
2020-02-25,32.55499999999998
2020-02-26,26.37499999999997
2020-02-27,10.114999999999952
2020-02-28,10.11499999999998
2020-02-29,8.754999999999967
2020-03-01,7.394999999999982
2020-03-02,6.034999999999968
2020-03-03,15.274999999999977
2020-03-04,11.514999999999986
2020-03-05,10.794999999999987
2020-03-06,18.684999999999974
2020-03-07,12.11166666666665
2020-03-08,5.5383333333332985
2020-03-09,-1.035000000000025
2020-03-10,-9.945000000000022
2020-03-11,-7.135000000000019
2020-03-12,-11.175000000000011
2020-03-13,-54.66500000000002
2020-03-14,-57.02500000000002
2020-03-15,-59.38500000000002
2020-03-16,-61.74500000000002
2020-03-17,-72.39500000000002
2020-03-18,-67.22500000000002
2020-03-19,-67.35500000000002
2020-03-20,-45.11500000000004
2020-03-21,-47.49500000000003
2020-03-22,-49.87500000000003
2020-03-23,-52.255000000000024
2020-03-24,-45.22500000000002
2020-03-25,-38.46500000000003
2020-03-26,-40.255000000000024
2020-03-27,-39.035000000000025
2020-03-28,-43.558333333333366
2020-03-29,-48.08166666666669
2020-03-30,-52.60500000000002
2020-03-31,-42.45500000000001
2020-04-01,-43.045000000000016
2020-04-02,-44.92500000000001
2020-04-03,-36.70500000000001
2020-04-04,-36.58833333333334
2020-04-05,-36.47166666666669
2020-04-06,-36.35500000000002
2020-04-07,-25.735000000000014
2020-04-08,-26.515000000000015
2020-04-09,-21.67500000000001
2020-04-10,-23.14500000000001
2020-04-11,-24.61500000000001
2020-04-12,-26.085000000000036
2020-04-13,-27.555000000000035
2020-04-14,-33.005000000000024
2020-04-15,-32.43500000000003
2020-04-16,-34.89500000000004
2020-04-17,-27.565000000000026
2020-04-18,-26.14500000000004
2020-04-19,-24.725000000000023
2020-04-20,-23.305000000000035
2020-04-21,-30.15500000000003
2020-04-22,-30.315000000000026
2020-04-23,-25.42500000000001
2020-04-24,-18.785000000000025
2020-04-25,-17.291666666666686
2020-04-26,-15.798333333333375
2020-04-27,-14.305000000000035
2020-04-28,-13.13500000000002
2020-04-29,-11.775000000000034
2020-04-30,7.114999999999981
2020-05-01,7.144999999999982
2020-05-02,6.998333333333306
2020-05-03,6.8516666666666595
2020-05-04,6.704999999999984
2020-05-05,7.364999999999981
2020-05-06,7.814999999999969
2020-05-07,13.474999999999966
2020-05-08,21.35499999999996
2020-05-09,14.264999999999958
2020-05-10,7.174999999999983
2020-05-11,0.08499999999997954
2020-05-12,-1.495000000000033
2020-05-13,10.654999999999973
2020-05-14,16.56499999999997
2020-05-15,16.56499999999997
2020-05-16,17.301666666666648
2020-05-17,18.0383333333333
2020-05-18,18.774999999999977
2020-05-19,18.644999999999982
2020-05-20,16.424999999999983
2020-05-21,6.894999999999982
2020-05-22,6.894999999999982
2020-05-23,6.172499999999985
2020-05-24,5.449999999999989
2020-05-25,4.727499999999964
2020-05-26,4.004999999999967
2020-05-27,9.924999999999983
2020-05-28,15.504999999999967
2020-05-29,15.504999999999967
2020-05-30,17.988333333333316
2020-05-31,20.471666666666636
2020-06-01,22.954999999999984
2020-06-02,20.204999999999984
2020-06-03,22.014999999999986
2020-06-04,25.254999999999967
2020-06-05,25.254999999999967
2020-06-06,24.881666666666632
2020-06-07,24.508333333333297
2020-06-08,24.134999999999962
2020-06-09,24.134999999999962
2020-06-10,27.284999999999968
2020-06-11,16.254999999999967
2020-06-12,16.254999999999967
2020-06-13,16.934999999999974
2020-06-14,17.61499999999998
2020-06-15,18.294999999999987
2020-06-16,18.884999999999962
2020-06-17,17.644999999999982
2020-06-18,15.83499999999998
2020-06-19,15.83499999999998
2020-06-20,17.704999999999984
2020-06-21,19.57499999999996
2020-06-22,21.444999999999965
2020-06-23,21.794999999999987
2020-06-24,14.944999999999965
2020-06-25,15.284999999999968
2020-06-26,15.284999999999968
2020-06-27,14.304999999999978
2020-06-28,13.32499999999996
2020-06-29,12.34499999999997
2020-06-30,11.61499999999998
2020-07-01,13.474999999999966
2020-07-02,10.824999999999989
2020-07-03,12.259999999999991
2020-07-04,13.694999999999993
2020-07-05,15.129999999999967
2020-07-06,16.56499999999997
2020-07-07,16.524999999999977
2020-07-08,22.11499999999998
2020-07-09,21.034999999999968
2020-07-10,11.292499999999961
2020-07-11,1.5499999999999545
2020-07-12,-8.192500000000024
2020-07-13,-17.93500000000003
