Timestamp,Open,High,Low,Close,Volume
2019-02-28,5.694e-05,5.83e-05,5.57e-05,5.617e-05,954975.0
2019-03-01,5.593e-05,5.83e-05,5.59e-05,5.695e-05,703054.0
2019-03-02,5.756e-05,6.109e-05,5.706e-05,5.991e-05,3415165.0
2019-03-03,5.963e-05,6.25e-05,5.915e-05,6.232e-05,2561120.0
2019-03-04,6.23e-05,8.2e-05,6.23e-05,7.283e-05,27085887.0
2019-03-05,7.283e-05,7.315e-05,6.351e-05,6.447e-05,6574895.0
2019-03-06,6.447e-05,6.534e-05,6.046e-05,6.202e-05,2712581.0
2019-03-07,6.174e-05,6.36e-05,6.026e-05,6.138e-05,2553627.0
2019-03-08,6.198e-05,6.717e-05,6.198e-05,6.389e-05,3512220.0
2019-03-09,6.437e-05,6.512e-05,6.277e-05,6.488e-05,2050735.0
2019-03-10,6.489e-05,7.091e-05,6.489e-05,7.019e-05,5121772.0
2019-03-11,7.018e-05,7.067e-05,6.516e-05,6.687e-05,3550504.0
2019-03-12,6.687e-05,7.091e-05,6.5e-05,6.942e-05,2682768.0
2019-03-13,6.934e-05,7.013e-05,6.701e-05,6.852e-05,3833567.0
2019-03-14,6.835e-05,7.141e-05,6.805e-05,7.001e-05,1129614.0
2019-03-15,6.979e-05,7.332e-05,6.904e-05,6.99e-05,2405213.0
2019-03-16,6.976e-05,7.009e-05,6.601e-05,6.677e-05,1598079.0
2019-03-17,6.677e-05,6.753e-05,6.561e-05,6.569e-05,1067605.0
2019-03-18,6.606e-05,6.622e-05,6.434e-05,6.5e-05,1191765.0
2019-03-19,6.5e-05,6.562e-05,6.439e-05,6.53e-05,927889.0
2019-03-20,6.51e-05,6.66e-05,6.51e-05,6.583e-05,1213317.0
2019-03-21,6.639e-05,6.676e-05,6.204e-05,6.39e-05,795759.0
2019-03-22,6.398e-05,6.56e-05,6.35e-05,6.478e-05,443489.0
2019-03-23,6.462e-05,6.538e-05,6.35e-05,6.35e-05,908342.0
2019-03-24,6.354e-05,6.457e-05,6.302e-05,6.357e-05,1031760.0
2019-03-25,6.387e-05,6.55e-05,6.202e-05,6.311e-05,2137389.0
2019-03-26,6.332e-05,6.782e-05,6.266e-05,6.607e-05,3012499.0
2019-03-27,6.607e-05,6.913e-05,6.508e-05,6.718e-05,4667928.0
2019-03-28,6.718e-05,7.225e-05,6.672e-05,7.175e-05,4592447.0
2019-03-29,7.175e-05,7.766e-05,7e-05,7.245e-05,10278617.0
2019-03-30,7.245e-05,7.331e-05,6.98e-05,7.095e-05,1894529.0
2019-03-31,7.103e-05,7.226e-05,6.969e-05,7.12e-05,1508966.0
2019-04-01,7.12e-05,7.459e-05,7e-05,7.298e-05,2596410.0
2019-04-02,7.297e-05,7.42e-05,6.583e-05,6.688e-05,6077907.0
2019-04-03,6.633e-05,6.847e-05,6.27e-05,6.608e-05,4660176.0
2019-04-04,6.611e-05,7.294e-05,6.506e-05,6.988e-05,11323135.0
2019-04-05,6.988e-05,7.668e-05,6.828e-05,7.241e-05,5531858.0
2019-04-06,7.233e-05,7.233e-05,6.72e-05,6.815e-05,2539305.0
2019-04-07,6.755e-05,7.05e-05,6.679e-05,7.028e-05,3597536.0
2019-04-08,7.031e-05,7.039e-05,6.359e-05,6.516e-05,6776382.0
2019-04-09,6.51e-05,6.523e-05,6.274e-05,6.37e-05,2351852.0
2019-04-10,6.369e-05,6.76e-05,6.201e-05,6.738e-05,2435534.0
2019-04-11,6.732e-05,6.796e-05,6.051e-05,6.302e-05,2848346.0
2019-04-12,6.257e-05,6.522e-05,6.216e-05,6.392e-05,1589277.0
2019-04-13,6.425e-05,6.593e-05,6.356e-05,6.438e-05,1867154.0
2019-04-14,6.419e-05,6.857e-05,6.34e-05,6.727e-05,1976428.0
2019-04-15,6.686e-05,6.824e-05,6.457e-05,6.557e-05,2167274.0
2019-04-16,6.585e-05,6.715e-05,6.38e-05,6.451e-05,1524784.0
2019-04-17,6.451e-05,6.674e-05,6.377e-05,6.455e-05,759109.0
2019-04-18,6.469e-05,6.767e-05,6.246e-05,6.68e-05,6011816.0
2019-04-19,6.701e-05,6.86e-05,6.453e-05,6.53e-05,3038394.0
2019-04-20,6.518e-05,6.62e-05,6.442e-05,6.478e-05,678236.0
2019-04-21,6.442e-05,6.458e-05,6.1e-05,6.264e-05,1730906.0
2019-04-22,6.264e-05,6.463e-05,6.132e-05,6.407e-05,1713775.0
2019-04-23,6.415e-05,6.418e-05,5.799e-05,6.068e-05,2586031.0
2019-04-24,6.106e-05,6.659e-05,6.009e-05,6.186e-05,5776455.0
2019-04-25,6.168e-05,6.246e-05,5.681e-05,5.861e-05,1662087.0
2019-04-26,5.869e-05,5.881e-05,5.5e-05,5.637e-05,4337665.0
2019-04-27,5.637e-05,6.021e-05,5.637e-05,5.854e-05,1915940.0
2019-04-28,5.85e-05,6.015e-05,5.518e-05,5.574e-05,2358676.0
2019-04-29,5.636e-05,5.677e-05,5.148e-05,5.211e-05,2856166.0
2019-04-30,5.22e-05,5.424e-05,5.066e-05,5.369e-05,2492482.0
2019-05-01,5.371e-05,5.508e-05,5.253e-05,5.395e-05,1117590.0
2019-05-02,5.472e-05,5.788e-05,5.202e-05,5.308e-05,2069759.0
2019-05-03,5.319e-05,5.351e-05,4.724e-05,4.95e-05,4843373.0
2019-05-04,4.966e-05,5.2e-05,4.761e-05,4.814e-05,3977113.0
2019-05-05,4.806e-05,5.24e-05,4.736e-05,5.093e-05,2224432.0
2019-05-06,5.051e-05,5.085e-05,4.697e-05,4.822e-05,1671479.0
2019-05-07,4.815e-05,4.988e-05,4.52e-05,4.801e-05,2717150.0
2019-05-08,4.79e-05,4.958e-05,4.535e-05,4.625e-05,1904517.0
2019-05-09,4.622e-05,4.692e-05,4.149e-05,4.234e-05,4828853.0
2019-05-10,4.234e-05,4.522e-05,3.864e-05,4.351e-05,4529152.0
2019-05-11,4.291e-05,4.356e-05,3.852e-05,3.929e-05,3266242.0
2019-05-12,4.015e-05,4.035e-05,3.76e-05,3.796e-05,2111069.0
2019-05-13,3.802e-05,4.011e-05,3.448e-05,3.552e-05,5695375.0
2019-05-14,3.536e-05,3.76e-05,3.317e-05,3.499e-05,4600064.0
2019-05-15,3.466e-05,3.598e-05,3.3e-05,3.505e-05,4677683.0
2019-05-16,3.453e-05,3.73e-05,3.107e-05,3.463e-05,7463609.0
2019-05-17,3.453e-05,3.669e-05,3.2e-05,3.52e-05,7850868.0
2019-05-18,3.538e-05,3.618e-05,3.448e-05,3.496e-05,2568259.0
2019-05-19,3.513e-05,4e-05,3.214e-05,3.255e-05,4653021.0
2019-05-20,3.279e-05,4.044e-05,3.258e-05,3.545e-05,12950434.0
2019-05-21,3.543e-05,3.959e-05,3.532e-05,3.727e-05,8785513.0
2019-05-22,3.743e-05,4.644e-05,3.556e-05,3.936e-05,11351404.0
2019-05-23,3.979e-05,4.529e-05,3.908e-05,4.141e-05,5439072.0
2019-05-24,4.113e-05,4.276e-05,3.656e-05,3.67e-05,5662221.0
2019-05-25,3.706e-05,3.847e-05,3.568e-05,3.806e-05,2260866.0
2019-05-26,3.782e-05,4.072e-05,3.5e-05,3.602e-05,5254109.0
2019-05-27,3.581e-05,4.109e-05,3.4e-05,3.605e-05,6641329.0
2019-05-28,3.605e-05,3.703e-05,3.506e-05,3.556e-05,3950210.0
2019-05-29,3.556e-05,3.627e-05,3.451e-05,3.605e-05,2781630.0
2019-05-30,3.586e-05,3.626e-05,3.331e-05,3.526e-05,3779462.0
2019-05-31,3.488e-05,3.555e-05,3.4e-05,3.4e-05,1553947.0
2019-06-01,3.429e-05,3.458e-05,3.243e-05,3.331e-05,1801690.0
2019-06-02,3.311e-05,3.586e-05,3.253e-05,3.51e-05,4184904.0
2019-06-03,3.519e-05,3.555e-05,3.333e-05,3.342e-05,1858810.0
2019-06-04,3.37e-05,3.468e-05,3.248e-05,3.309e-05,2258365.0
2019-06-05,3.287e-05,3.4e-05,3.233e-05,3.306e-05,5357604.0
