Timestamp,Open,High,Low,Close,Volume
2018-11-14,5.725e-05,5.867e-05,4.926e-05,5.293e-05,11163705.0
2018-11-15,5.289e-05,5.342e-05,4.755e-05,5.079e-05,6978919.0
2018-11-16,5.079e-05,5.288e-05,4.913e-05,5.086e-05,4652193.0
2018-11-17,5.09e-05,5.22e-05,4.881e-05,5.012e-05,4584918.0
2018-11-18,5.012e-05,5.368e-05,5.007e-05,5.143e-05,3888358.0
2018-11-19,5.133e-05,5.165e-05,4.511e-05,4.672e-05,8686177.0
2018-11-20,4.662e-05,4.949e-05,4.211e-05,4.587e-05,9061945.0
2018-11-21,4.615e-05,5.008e-05,4.468e-05,4.892e-05,4623873.0
2018-11-22,4.892e-05,5.137e-05,4.658e-05,4.706e-05,2591021.0
2018-11-23,4.708e-05,4.965e-05,4.685e-05,4.856e-05,3374739.0
2018-11-24,4.878e-05,4.93e-05,4.55e-05,4.609e-05,2231044.0
2018-11-25,4.632e-05,4.793e-05,4.282e-05,4.706e-05,5156899.0
2018-11-26,4.742e-05,5e-05,4.521e-05,4.704e-05,2870797.0
2018-11-27,4.72e-05,5.187e-05,4.69e-05,4.936e-05,7607398.0
2018-11-28,4.916e-05,5.5e-05,4.899e-05,5.182e-05,6916198.0
2018-11-29,5.182e-05,5.577e-05,5.066e-05,5.403e-05,6928259.0
2018-11-30,5.397e-05,5.47e-05,4.734e-05,5.083e-05,7267750.0
2018-12-01,5.062e-05,5.232e-05,4.906e-05,5.11e-05,2779504.0
2018-12-02,5.111e-05,5.293e-05,5.041e-05,5.29e-05,1511212.0
2018-12-03,5.245e-05,5.245e-05,4.929e-05,5.065e-05,3775563.0
2018-12-04,5.081e-05,5.5e-05,4.927e-05,5.235e-05,6617318.0
2018-12-05,5.216e-05,7.8e-05,5.135e-05,6.24e-05,45538562.0
2018-12-06,6.227e-05,7.7e-05,5.585e-05,5.614e-05,45876348.0
2018-12-07,5.614e-05,5.814e-05,5.215e-05,5.33e-05,14898737.0
2018-12-08,5.33e-05,5.671e-05,5.26e-05,5.481e-05,4558861.0
2018-12-09,5.45e-05,5.49e-05,5.28e-05,5.415e-05,3599331.0
2018-12-10,5.415e-05,5.493e-05,5.33e-05,5.367e-05,1929415.0
2018-12-11,5.335e-05,5.389e-05,5.152e-05,5.234e-05,5108987.0
2018-12-12,5.236e-05,5.651e-05,5.152e-05,5.468e-05,6458689.0
2018-12-13,5.479e-05,5.499e-05,5.235e-05,5.24e-05,2397695.0
2018-12-14,5.24e-05,5.319e-05,5.119e-05,5.191e-05,3468007.0
2018-12-15,5.195e-05,5.195e-05,4.8e-05,5.121e-05,7328436.0
2018-12-16,5.097e-05,5.127e-05,5e-05,5.028e-05,1473630.0
2018-12-17,5.051e-05,5.238e-05,4.971e-05,5.028e-05,7648559.0
2018-12-18,5.032e-05,5.236e-05,4.949e-05,5.005e-05,4984373.0
2018-12-19,4.981e-05,5.177e-05,4.883e-05,5.023e-05,6066870.0
2018-12-20,5.007e-05,5.048e-05,4.7e-05,4.878e-05,5476836.0
2018-12-21,4.871e-05,5.25e-05,4.701e-05,4.93e-05,6066858.0
2018-12-22,4.908e-05,5.131e-05,4.709e-05,4.764e-05,3813821.0
2018-12-23,4.769e-05,4.821e-05,4.251e-05,4.301e-05,6000267.0
2018-12-24,4.296e-05,4.435e-05,3.911e-05,4.149e-05,8068537.0
2018-12-25,4.125e-05,4.238e-05,3.8e-05,3.984e-05,5002713.0
2018-12-26,3.983e-05,4.448e-05,3.871e-05,4.161e-05,5997997.0
2018-12-27,4.154e-05,4.418e-05,4.105e-05,4.209e-05,5646839.0
2018-12-28,4.168e-05,4.36e-05,3.877e-05,3.91e-05,4226665.0
2018-12-29,3.878e-05,4.099e-05,3.611e-05,3.73e-05,2298789.0
2018-12-30,3.73e-05,3.874e-05,3.719e-05,3.8e-05,1376240.0
2018-12-31,3.785e-05,3.899e-05,3.785e-05,3.837e-05,729571.0
2019-01-01,3.84e-05,3.963e-05,3.678e-05,3.782e-05,2286989.0
2019-01-02,3.773e-05,3.87e-05,3.472e-05,3.522e-05,2587831.0
2019-01-03,3.517e-05,3.682e-05,3.477e-05,3.599e-05,3225588.0
2019-01-04,3.556e-05,3.612e-05,3.411e-05,3.516e-05,1889828.0
2019-01-05,3.483e-05,3.483e-05,3.352e-05,3.419e-05,1228234.0
2019-01-06,3.422e-05,3.639e-05,3.422e-05,3.632e-05,2475114.0
2019-01-07,3.63e-05,4.123e-05,3.582e-05,3.911e-05,14031510.0
2019-01-08,3.898e-05,3.994e-05,3.847e-05,3.924e-05,5553143.0
2019-01-09,3.912e-05,4.042e-05,3.844e-05,3.952e-05,3475058.0
2019-01-10,3.965e-05,4.201e-05,3.942e-05,3.991e-05,6276157.0
2019-01-11,4.021e-05,4.112e-05,3.918e-05,4.033e-05,2632706.0
2019-01-12,4.033e-05,4.106e-05,3.894e-05,4.047e-05,2368399.0
2019-01-13,4.073e-05,4.247e-05,3.963e-05,4.178e-05,3347227.0
2019-01-14,4.173e-05,4.199e-05,3.9e-05,4.025e-05,4246325.0
2019-01-15,3.995e-05,4.398e-05,3.963e-05,4.398e-05,6987176.0
2019-01-16,4.398e-05,4.643e-05,4.204e-05,4.256e-05,7140809.0
2019-01-17,4.285e-05,4.451e-05,4.246e-05,4.341e-05,7463546.0
2019-01-18,4.334e-05,4.899e-05,4.279e-05,4.899e-05,4464691.0
2019-01-19,4.732e-05,5.01e-05,4.486e-05,4.529e-05,27066116.0
2019-01-20,4.53e-05,4.626e-05,4.353e-05,4.452e-05,6871469.0
2019-01-21,4.452e-05,4.644e-05,4.401e-05,4.503e-05,3385492.0
2019-01-22,4.503e-05,4.648e-05,4.456e-05,4.552e-05,2431746.0
2019-01-23,4.548e-05,4.78e-05,4.492e-05,4.63e-05,6085712.0
2019-01-24,4.606e-05,5e-05,4.516e-05,4.775e-05,15256797.0
2019-01-25,4.791e-05,4.821e-05,4.46e-05,4.696e-05,7728885.0
2019-01-26,4.694e-05,4.787e-05,4.574e-05,4.588e-05,3925142.0
2019-01-27,4.596e-05,4.826e-05,4.466e-05,4.779e-05,7505883.0
2019-01-28,4.781e-05,4.851e-05,4.596e-05,4.633e-05,4480283.0
2019-01-29,4.627e-05,4.723e-05,4.549e-05,4.65e-05,2202581.0
2019-01-30,4.655e-05,4.737e-05,4.567e-05,4.632e-05,1689547.0
2019-01-31,4.625e-05,4.691e-05,4.42e-05,4.52e-05,1959491.0
2019-02-01,4.519e-05,4.549e-05,4.344e-05,4.442e-05,2037207.0
2019-02-02,4.436e-05,4.513e-05,4.348e-05,4.348e-05,984431.0
2019-02-03,4.355e-05,4.388e-05,4.312e-05,4.384e-05,860343.0
2019-02-04,4.376e-05,4.5e-05,4.306e-05,4.412e-05,1750409.0
2019-02-05,4.412e-05,4.509e-05,4.272e-05,4.344e-05,3084100.0
2019-02-06,4.344e-05,4.455e-05,4.203e-05,4.261e-05,2067000.0
2019-02-07,4.264e-05,4.456e-05,4.239e-05,4.308e-05,2525716.0
2019-02-08,4.311e-05,4.332e-05,4.028e-05,4.104e-05,3034152.0
2019-02-09,4.103e-05,4.143e-05,4e-05,4.094e-05,2939311.0
2019-02-10,4.072e-05,4.119e-05,3.833e-05,3.873e-05,2023526.0
2019-02-11,3.887e-05,4.04e-05,3.882e-05,3.951e-05,1939424.0
2019-02-12,3.996e-05,4.017e-05,3.881e-05,3.951e-05,1911245.0
2019-02-13,3.941e-05,3.97e-05,3.881e-05,3.939e-05,816808.0
2019-02-14,3.922e-05,3.94e-05,3.7e-05,3.854e-05,4835844.0
2019-02-15,3.854e-05,3.858e-05,3.76e-05,3.78e-05,2276330.0
2019-02-16,3.78e-05,3.814e-05,3.73e-05,3.769e-05,1258933.0
2019-02-17,3.768e-05,3.819e-05,3.5e-05,3.572e-05,4876422.0
2019-02-18,3.58e-05,3.585e-05,3.333e-05,3.39e-05,5456653.0
2019-02-19,3.364e-05,3.392e-05,3.255e-05,3.34e-05,3763556.0
2019-02-20,3.316e-05,3.361e-05,3.202e-05,3.202e-05,4094427.0
2019-02-21,3.227e-05,3.384e-05,3.182e-05,3.315e-05,2899765.0
2019-02-22,3.302e-05,3.382e-05,3.227e-05,3.273e-05,3991137.0
2019-02-23,3.282e-05,3.354e-05,3.042e-05,3.095e-05,3757875.0
2019-02-24,3.084e-05,3.261e-05,2.942e-05,3.251e-05,7281638.0
2019-02-25,3.263e-05,3.37e-05,3.077e-05,3.246e-05,5861823.0
2019-02-26,3.253e-05,3.47e-05,3.2e-05,3.379e-05,10939308.0
2019-02-27,3.372e-05,3.536e-05,3.303e-05,3.353e-05,4991544.0
2019-02-28,3.346e-05,3.371e-05,3.157e-05,3.3e-05,3940554.0
2019-03-01,3.298e-05,3.513e-05,3.27e-05,3.337e-05,3387259.0
2019-03-02,3.33e-05,3.628e-05,3.322e-05,3.605e-05,7202850.0
2019-03-03,3.603e-05,3.77e-05,3.432e-05,3.71e-05,13736390.0
2019-03-04,3.709e-05,3.877e-05,3.471e-05,3.625e-05,6884670.0
2019-03-05,3.625e-05,3.685e-05,3.403e-05,3.429e-05,5201570.0
2019-03-06,3.403e-05,3.43e-05,3.25e-05,3.31e-05,3625833.0
2019-03-07,3.316e-05,3.43e-05,3.28e-05,3.364e-05,6674820.0
2019-03-08,3.398e-05,3.5e-05,3.375e-05,3.413e-05,3936492.0
2019-03-09,3.417e-05,3.507e-05,3.277e-05,3.468e-05,6880867.0
2019-03-10,3.47e-05,3.614e-05,3.445e-05,3.568e-05,7735262.0
2019-03-11,3.568e-05,3.68e-05,3.41e-05,3.641e-05,7534329.0
2019-03-12,3.637e-05,3.809e-05,3.553e-05,3.732e-05,6940256.0
2019-03-13,3.723e-05,3.84e-05,3.6e-05,3.742e-05,6338743.0
2019-03-14,3.766e-05,3.772e-05,3.675e-05,3.766e-05,2481388.0
